Type,Condition,SNOMED Concept ID,Code Description
Local,Anxiety,35429005,Anticipatory anxiety
Local,Anxiety,48694002,Anxiety
Local,Anxiety,61387006,Moderate anxiety  
Local,Anxiety,70997004,Mild anxiety  
Local,Anxiety,79823003,Panic 
Local,Anxiety,81350009,Free-floating anxiety 
Local,Anxiety,106126000,Emotional state finding
Local,Anxiety,129869000,Death anxiety
Local,Anxiety,197480006,Anxiety disorder
Local,Anxiety,198288003,Anxiety state
Local,Anxiety,225635005,Anxiety about treatment 
Local,Anxiety,225636006,Anxiety about forced dependence
Local,Anxiety,225637002,Anxiety about loss of control
Local,Anxiety,247805009,Anxiety and fear
Local,Anxiety,247808006,Anxiety about body function or health
Local,Anxiety,247825008,Anxiety about behavior or performance
Local,Anxiety,279622009,Performance anxiety
Local,Anxiety,285854004,Emotion
Local,Anxiety,300894000,Parental anxiety
Local,Anxiety,300895004,Anxiety attack
Local,Anxiety,788866004,Anxiety due to dementia  
Local,Anxiety,1255960000,Anxiety about visiting dentist 
Local,Anxiety,471971000124108,Anxiety disorder due to severe acute respiratory syndrome coronavirus 2
Local,Atrial Fibrilation,5370000,Atrial flutter (disorder)
Local,Atrial Fibrilation,49436004,Atrial fibrillation (disorder)
Local,Atrial Fibrilation,195080001,Atrial fibrillation and flutter (disorder)
Local,Atrial Fibrilation,233910005,Lone atrial fibrillation (disorder)
Local,Atrial Fibrilation,233911009,Non-rheumatic atrial fibrillation (disorder)
Local,Atrial Fibrilation,282825002,Paroxysmal atrial fibrillation (disorder)
Local,Atrial Fibrilation,300996004,Controlled atrial fibrillation (disorder)
Local,Atrial Fibrilation,314208002,Rapid atrial fibrillation (disorder)
Local,Atrial Fibrilation,425615007,Chronic atrial flutter (disorder)
Local,Atrial Fibrilation,426749004,Chronic atrial fibrillation (disorder)
Local,Atrial Fibrilation,427665004,Paroxysmal atrial flutter (disorder)
Local,Atrial Fibrilation,440028005,Permanent atrial fibrillation (disorder)
Local,Atrial Fibrilation,440059007,Persistent atrial fibrillation (disorder)
Local,Atrial Fibrilation,706923002,Longstanding persistent atrial fibrillation (disorder)
Local,Atrial Fibrilation,715395008,Familial atrial fibrillation (disorder)
Local,Atrial Fibrilation,720448006,Typical atrial flutter (disorder)
Local,Atrial Fibrilation,762247006,Preexcited atrial fibrillation (disorder)
Local,Atrial Fibrilation,1010405004,Paroxysmal atrial fibrillation with rapid ventricular response (disorder)
Local,Atrial Fibrilation,120041000119109,Atrial fibrillation with rapid ventricular response (disorder)
Local,Atrial Fibrilation,15964901000119100,Atypical atrial flutter (disorder)
